0.0059	97
0.0063	96
0.0067	95
0.0071	94
0.0075	93
0.0079	92
0.0083	91
0.0087	90
0.0091	89
0.0095	88
0.01	87
0.0105	86
0.011	85
0.0115	84
0.012	83
0.0125	82
0.013	81
0.0135	80
0.0145	79
0.016	78
0.018	77
0.02	76
0.021	75
0.0225	74
0.024	73
0.025	72
0.026	71
0.028	70
0.0292	69
0.031	68
0.032	67
0.033	66
0.035	65
0.036	64
0.037	63
0.038	62
0.039	61
0.04	60
0.041	59
0.042	58
0.043	57
0.0465	56
0.052	55
0.055	54
0.0595	53
0.0635	52
0.067	51
0.07	50
0.073	49
0.076	48
0.0785	47
0.081	46
0.082	45
0.086	44
0.089	43
0.0935	42
0.096	41
0.098	40
0.0995	39
0.1015	38
0.104	37
0.1065	36
0.11	35
0.111	34
0.113	33
0.116	32
0.12	31
0.1285	30
0.136	29
0.1405	28
0.144	27
0.147	26
0.1495	25
0.152	24
0.154	23
0.157	22
0.159	21
0.161	20
0.166	19
0.1695	18
0.173	17
0.177	16
0.18	15
0.182	14
0.185	13
0.189	12
0.191	11
0.1935	10
0.196	9
0.199	8
0.201	7
0.204	6
0.2055	5
0.209	4
0.213	3
0.221	2
0.228	1
0.234	A
0.238	B
0.242	C
0.246	D
0.25	E
0.257	F
0.261	G
0.266	H
0.272	I
0.277	J
0.281	K
0.29	L
0.295	M
0.302	N
0.316	O
0.323	P
0.332	Q
0.339	R
0.348	S
0.358	T
0.368	U
0.377	V
0.386	W
0.397	X
0.404	Y
0.413	Z
